pmid	year	uses_seer	queries	journal	title
42240667	2026	True	timeliness_seer	World journal of urology	Early vs. delayed primary local therapy and survival in de novo metastatic prostate cancer: target trial emulation.
41969320	2026	True	timeliness_seer,marital_seer,timeliness_disparities_any_source,incremental_value_social_factors,ml_decomposition	Current urology	Machine learning approaches to optimize the integration of sociodemographic factors for predicting cancer-specific survival among patients with high-risk prostate cancer.
41674181	2026	True	timeliness_seer	Cancer medicine	Evaluating Potential Impacts of Climate-Related Natural Disasters on Subsequent Prostate Cancer Mortality.
41591736	2026	True	timeliness_seer,timeliness_disparities_any_source	Journal of racial and ethnic health disparities	Disparities in time to Treatment Initiation Among Patients with Major Types of Cancer in the United States.
40556964	2025	True	timeliness_seer,marital_seer,timeliness_disparities_any_source	World journal of oncology	Time-to-Treatment Initiation and Its Effect on All-Cause Mortality: Insights From the Surveillance, Epidemiology, and End Results Database.
40162107	2025	True	timeliness_seer,marital_seer,rural_seer,timeliness_disparities_any_source	World journal of oncology	Time to Treatment Initiation of Lung, Breast, Colorectal, and Prostate Cancers and Contributing Factors From 2015 to 2020 Utilizing Surveillance, Epidemiology, and End Results Program Database.
38685667	2024	True	timeliness_seer	The Prostate	Differences in real-world outcomes by risk classification for localized prostate cancer patients after radiation therapy.
33577898	2021	True	timeliness_seer,marital_seer	Urology	Influence of Sociodemographic Factors on Definitive Intervention Among Low-risk Active Surveillance Patients.
33598420	2020	True	timeliness_seer	Frontiers in oncology	Treatment-Emergent Neuroendocrine Prostate Cancer: A Clinicopathological and Immunohistochemical Analysis of 94 Cases.
29959759	2019	True	timeliness_seer,rural_seer,timeliness_disparities_any_source	Journal of racial and ethnic health disparities	Racial, Socioeconomic, and Geographic Disparities in the Receipt, Timing to Initiation, and Duration of Adjuvant Androgen Deprivation Therapy in Men with Prostate Cancer.
29724482	2018	True	timeliness_seer	Urologic oncology	Physician visits and the timing of skeletal-related events among men newly diagnosed with metastatic prostate cancer: A cohort analysis.
26967329	2018	True	timeliness_seer	American journal of clinical oncology	Age Bias in Time From Diagnosis Comparisons of Prostate Cancer Treatment.
28239006	2017	True	timeliness_seer,timeliness_disparities_any_source	Journal of health care for the poor and underserved	Cancer Treatment Delays in American Indians and Alaska Natives Enrolled in Medicare.
27352280	2016	True	timeliness_seer,rural_seer,timeliness_disparities_any_source	Cancer	Ascertainment of postprostatectomy radiotherapy for prostate cancer in the Surveillance, Epidemiology, and End Results database.
27166412	2016	True	timeliness_seer,timeliness_disparities_any_source	Inquiry : a journal of medical care organization, provision and financing	Prostate Cancer Care Before and After Medicare Eligibility.
26502115	2016	True	timeliness_seer,timeliness_disparities_any_source	JAMA oncology	Racial Differences in the Surgical Care of Medicare Beneficiaries With Localized Prostate Cancer.
23716470	2013	True	timeliness_seer,timeliness_disparities_any_source	Cancer	Racial differences in time from prostate cancer diagnosis to treatment initiation: a population-based study.
23300364	2012	True	timeliness_seer	Current oncology (Toronto, Ont.)	Disparities in timeliness of care for U.S. Medicare patients diagnosed with cancer.
22672479	2012	True	timeliness_seer	The journal of sexual medicine	Is a treatment delay in radical prostatectomy safe in individuals with low-risk prostate cancer?
24048800	2011	True	timeliness_seer,timeliness_disparities_any_source	Cancer	Variation in quality of care among older men with localized prostate cancer.
12065564	2002	True	timeliness_seer	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	Comparing the costs of radiation therapy and radical prostatectomy for the initial treatment of early-stage prostate cancer.
41503827	2026	True	marital_seer	The aging male : the official journal of the International Society for the Study of the Aging Male	Development and validation of a nomogram for the overall survival of patients with locally advanced prostate cancer treated with radiotherapy and surgery.
42557188	2026	True	marital_seer,rural_seer	Urologic oncology	Cancer-specific mortality in high-risk or very high-risk prostate cancer patients treated with focal therapy vs. radical prostatectomy.
42443263	2026	True	marital_seer	Scientific reports	Metabolic syndrome is associated with increased mortality in patients with breast or prostate cancer.
