stratum,model,bin,mean_predicted,observed
all,logistic,1,0.1860916042032721,0.18577517153825227
all,logistic,2,0.27028120780676146,0.267901943596409
all,logistic,3,0.3178336537407795,0.32016443490614516
all,logistic,4,0.35486064690573965,0.3537466372457153
all,logistic,5,0.3883568001226864,0.3936462835897591
all,logistic,6,0.4184540440700177,0.4151074570020857
all,logistic,7,0.44731262390044846,0.44427651663996615
all,logistic,8,0.4784880648258126,0.4750317393144308
all,logistic,9,0.5186268610278112,0.5220966084275437
all,logistic,10,0.5893613368500685,0.5918928722568164
all,lightgbm,1,0.18388613620030028,0.17507481183689508
all,lightgbm,2,0.2609351636876432,0.25750385394311276
all,lightgbm,3,0.30911655639381136,0.30997793428649156
all,lightgbm,4,0.3476281228691237,0.3532630051688178
all,lightgbm,5,0.3832696122596655,0.38255297282592265
all,lightgbm,6,0.41856335348292795,0.41625608318471724
all,lightgbm,7,0.4509509476655441,0.45301212102892724
all,lightgbm,8,0.4842437739380947,0.4845837615621788
all,lightgbm,9,0.5268815078216157,0.5269633033069343
all,lightgbm,10,0.6043390759115963,0.6104528142192128
low,logistic,1,0.34307974315054984,0.331304347826087
low,logistic,2,0.3955622225657647,0.40017391304347827
low,logistic,3,0.4221268349235057,0.43582608695652175
low,logistic,4,0.44217648728686604,0.45652173913043476
low,logistic,5,0.46123160546458847,0.45756521739130435
low,logistic,6,0.48147129715479203,0.47486519394677335
low,logistic,7,0.5053392001208251,0.499913028352757
low,logistic,8,0.5349406215467227,0.5291355018264046
low,logistic,9,0.573983279528898,0.57192555226996
low,logistic,10,0.6311011161823156,0.6338493651069751
low,lightgbm,1,0.31553625862174633,0.3309565217391304
low,lightgbm,2,0.3758054928980322,0.3843478260869565
low,lightgbm,3,0.41445127347384936,0.4076521739130435
low,lightgbm,4,0.4422838016966489,0.4370434782608696
low,lightgbm,5,0.4662350248668005,0.45565217391304347
low,lightgbm,6,0.4881675295879137,0.49017220386154114
low,lightgbm,7,0.5124003822261255,0.5199165072186467
low,lightgbm,8,0.5436055707343929,0.5383544964341624
low,lightgbm,9,0.5859754174436123,0.5962776134979997
low,lightgbm,10,0.6478099645361672,0.6307183858062272
intermediate,logistic,1,0.2769046111411795,0.2771292015983703
intermediate,logistic,2,0.32752879737831186,0.3340907310193528
intermediate,logistic,3,0.3601425595586393,0.3574674815859583
intermediate,logistic,4,0.3889877597866572,0.3927284124745338
intermediate,logistic,5,0.4160344934353343,0.41247453377213605
intermediate,logistic,6,0.4412055112107126,0.4327691584391161
intermediate,logistic,7,0.4656080192220863,0.45674659144334745
intermediate,logistic,8,0.49231576147049444,0.4961604764143551
intermediate,logistic,9,0.5255207066397544,0.5312646920545369
intermediate,logistic,10,0.5829714241980638,0.5863501018649114
intermediate,lightgbm,1,0.2611757106752699,0.2595784690119878
intermediate,lightgbm,2,0.3213276627054078,0.3223380083052574
intermediate,lightgbm,3,0.3564256339387533,0.3523742360131641
intermediate,lightgbm,4,0.3848978996066332,0.38316878232252
intermediate,lightgbm,5,0.41220117892368174,0.4164707726061746
intermediate,lightgbm,6,0.43995933301751694,0.4443660868202476
intermediate,lightgbm,7,0.46816398775656703,0.4656010029775897
intermediate,lightgbm,8,0.499344568909521,0.49529854254818995
intermediate,lightgbm,9,0.5340452010589392,0.5391004544742204
intermediate,lightgbm,10,0.5998892055130094,0.5988873217364049
high,logistic,1,0.14222686375260735,0.1455309396485867
high,logistic,2,0.19882186773312555,0.1974025974025974
high,logistic,3,0.2370171448415806,0.23575248281130634
high,logistic,4,0.2708130785134261,0.2710673084269234
high,logistic,5,0.30378056713675394,0.30017572007028803
high,logistic,6,0.3359596441936801,0.34020933608373444
high,logistic,7,0.37261808560963033,0.37657575063030024
high,logistic,8,0.41318843675776146,0.4056077622431049
high,logistic,9,0.45962713295261654,0.450072580029032
high,logistic,10,0.5469760967463146,0.5588662235464894
high,lightgbm,1,0.14370962257381453,0.13605805958747136
high,lightgbm,2,0.19416927408203655,0.19129106187929718
high,lightgbm,3,0.23289487340075835,0.2309396485867074
high,lightgbm,4,0.26650991908855226,0.26831690732676294
high,lightgbm,5,0.299222167451202,0.29773091909236765
high,lightgbm,6,0.3319757997194795,0.3406677362670945
high,lightgbm,7,0.36885468310889435,0.368859347543739
high,lightgbm,8,0.41274915240581767,0.4118725647490259
high,lightgbm,9,0.46372147800435926,0.4637481854992742
high,lightgbm,10,0.5674592837142132,0.5717778287111315
unknown,logistic,1,0.2575010883530601,0.2901484480431849
unknown,logistic,2,0.3184332670469558,0.3097165991902834
unknown,logistic,3,0.35548034078214635,0.3609986504723347
unknown,logistic,4,0.38256138208950885,0.3468286099865047
unknown,logistic,5,0.40823696267316756,0.4230769230769231
unknown,logistic,6,0.4348836306254958,0.4089068825910931
unknown,logistic,7,0.46138291567504847,0.45276653171390013
