stratum,model,comparison,estimate,lower,upper,n_resamples,level,metric
all,logistic,clinical need (step 0 to 1),0.030144787765437497,0.026899379977267466,0.03375232523139575,500,0.95,log-loss skill
all,logistic,social position (step 1 to 2),0.0061666843568282115,0.003919481779430837,0.008674070158965102,500,0.95,log-loss skill
all,logistic,pathway (step 2 to 3),0.0004290382011435945,0.0002852784642328049,0.000558326169314341,500,0.95,log-loss skill
all,lightgbm,clinical need (step 0 to 1),0.03179046835072241,0.02849865960453649,0.035386295026645115,500,0.95,log-loss skill
all,lightgbm,social position (step 1 to 2),0.009920618052020047,0.007292159536478174,0.013002235826174362,500,0.95,log-loss skill
all,lightgbm,pathway (step 2 to 3),0.0028666230165436124,0.002544222068944829,0.0032185887683009924,500,0.95,log-loss skill
low,logistic,clinical need (step 0 to 1),0.0013832749719396853,0.0007985515110470382,0.0019908223119603297,500,0.95,log-loss skill
low,logistic,social position (step 1 to 2),0.006197041908582945,0.0031849629049031467,0.009446809905421492,500,0.95,log-loss skill
low,logistic,pathway (step 2 to 3),0.002119738507714519,0.0010542627340672103,0.003224319318761093,500,0.95,log-loss skill
low,lightgbm,clinical need (step 0 to 1),0.00024004204368344162,-0.000861865306734743,0.0012587332817864227,500,0.95,log-loss skill
low,lightgbm,social position (step 1 to 2),0.009642009172960764,0.006655701507375706,0.012764145283119269,500,0.95,log-loss skill
low,lightgbm,pathway (step 2 to 3),0.003626597928700015,0.0026769906040606363,0.004743433691929181,500,0.95,log-loss skill
intermediate,logistic,clinical need (step 0 to 1),0.004911384742225855,0.0041089272005754435,0.005625584467722843,500,0.95,log-loss skill
intermediate,logistic,social position (step 1 to 2),0.005638678369827788,0.0034573693620179166,0.008345487742039729,500,0.95,log-loss skill
intermediate,logistic,pathway (step 2 to 3),0.000367993300792957,5.139688713873828e-05,0.0006691027842347568,500,0.95,log-loss skill
intermediate,lightgbm,clinical need (step 0 to 1),0.0054841794777891195,0.004350876693650354,0.006545881073153081,500,0.95,log-loss skill
intermediate,lightgbm,social position (step 1 to 2),0.009306521591469274,0.00648159022298589,0.01265576524802098,500,0.95,log-loss skill
intermediate,lightgbm,pathway (step 2 to 3),0.0018296977512817225,0.0014283254168183934,0.0022627959475997575,500,0.95,log-loss skill
high,logistic,clinical need (step 0 to 1),0.035294253259220976,0.03163881461580135,0.03861850619209797,500,0.95,log-loss skill
high,logistic,social position (step 1 to 2),0.008592608275613034,0.0059949751604018164,0.011454376593027088,500,0.95,log-loss skill
high,logistic,pathway (step 2 to 3),0.002439662687111155,0.0015475398343096026,0.003398449715036583,500,0.95,log-loss skill
high,lightgbm,clinical need (step 0 to 1),0.03718981814491917,0.033390628381072714,0.040646083220305926,500,0.95,log-loss skill
high,lightgbm,social position (step 1 to 2),0.011834651724132228,0.009039078478688064,0.01557112713980199,500,0.95,log-loss skill
high,lightgbm,pathway (step 2 to 3),0.003817246743595182,0.002950956544569647,0.0047428488497887385,500,0.95,log-loss skill
unknown,logistic,clinical need (step 0 to 1),0.006502111507137753,0.004084015832008636,0.00887439694358556,500,0.95,log-loss skill
unknown,logistic,social position (step 1 to 2),0.0041541987736112285,0.0007663558120881579,0.008008927455390669,500,0.95,log-loss skill
unknown,logistic,pathway (step 2 to 3),0.003435876188916831,0.0006069083047497095,0.006116448880162312,500,0.95,log-loss skill
unknown,lightgbm,clinical need (step 0 to 1),0.005873199141206542,0.002664637923155247,0.00947001066757817,500,0.95,log-loss skill
unknown,lightgbm,social position (step 1 to 2),0.013738876296901847,0.007953350946794136,0.021864261204914155,500,0.95,log-loss skill
unknown,lightgbm,pathway (step 2 to 3),0.007072548131769718,0.004537909006171487,0.009673769229072253,500,0.95,log-loss skill
