stratum,model,variable removed,step 2 skill,skill without variable,skill lost
all,logistic,marital status,0.03631147212226571,0.03409067993472936,0.0022207921875363468
all,logistic,rurality,0.03631147212226571,0.03405311775074771,0.002258354371518001
all,logistic,county income,0.03631147212226571,0.036307682364019156,3.789758246552921e-06
all,lightgbm,marital status,0.04171108640274246,0.038966831220821785,0.002744255181920674
all,lightgbm,rurality,0.04171108640274246,0.03944845168529143,0.0022626347174510286
all,lightgbm,county income,0.04171108640274246,0.039089062469998215,0.002622023932744244
low,logistic,marital status,0.007580316880522631,0.007072714243742895,0.0005076026367797359
low,logistic,rurality,0.007580316880522631,0.006301265685979773,0.0012790511945428573
low,logistic,county income,0.007580316880522631,0.006712155270369169,0.0008681616101534617
low,lightgbm,marital status,0.009882051216644205,0.009346745996935413,0.0005353052197087926
low,lightgbm,rurality,0.009882051216644205,0.008921225531452803,0.0009608256851914021
low,lightgbm,county income,0.009882051216644205,0.0060906482838904985,0.003791402932753707
intermediate,logistic,marital status,0.010550063112053643,0.008704987093361871,0.0018450760186917714
intermediate,logistic,rurality,0.010550063112053643,0.008637121978003592,0.0019129411340500502
intermediate,logistic,county income,0.010550063112053643,0.010499470575539571,5.059253651407136e-05
intermediate,lightgbm,marital status,0.014790701069258394,0.012680806269715017,0.002109894799543377
intermediate,lightgbm,rurality,0.014790701069258394,0.012548806246378108,0.002241894822880286
intermediate,lightgbm,county income,0.014790701069258394,0.011868597479733345,0.002922103589525049
high,logistic,marital status,0.04388686153483401,0.039730480286171765,0.004156381248662244
high,logistic,rurality,0.04388686153483401,0.040194478097063446,0.0036923834377705633
high,logistic,county income,0.04388686153483401,0.04365344662651971,0.0002334149083143
high,lightgbm,marital status,0.0490244698690514,0.044552497368963384,0.004471972500088017
high,lightgbm,rurality,0.0490244698690514,0.04544366097428565,0.0035808088947657524
high,lightgbm,county income,0.0490244698690514,0.0464139704783193,0.0026104993907321017
unknown,logistic,marital status,0.010656310280748982,0.009013541017853677,0.001642769262895305
unknown,logistic,rurality,0.010656310280748982,0.009482004637669905,0.0011743056430790766
unknown,logistic,county income,0.010656310280748982,0.010950808865603068,-0.000294498584854086
unknown,lightgbm,marital status,0.01961207543810839,0.01548934360915788,0.00412273182895051
unknown,lightgbm,rurality,0.01961207543810839,0.018059236508371823,0.0015528389297365663
unknown,lightgbm,county income,0.01961207543810839,0.0136830034427452,0.005929071995363189
