stratum,model,n,step,log_loss,brier,auc,calibration_intercept,calibration_slope,log_loss_skill,brier_skill
all,logistic,330827,0,0.6667709147264473,0.23696119695469955,0.558216740056452,-1.3331064102885216e-05,1.00120317363068,0.0,0.0
all,logistic,330827,1,0.6466712470138519,0.22775085993893524,0.6276957909684646,-2.309855476488056e-05,1.0015305448168237,0.030144787765437497,0.03886854528982264
all,logistic,330827,2,0.6425594812444203,0.22592838922227546,0.6377368680816023,-1.2062367587301276e-05,1.0001089043278402,0.03631147212226571,0.04655955436675685
all,logistic,330827,3,0.6422734110505912,0.2257943645847724,0.6384746707041196,-2.659060365159491e-05,1.0001602042675897,0.0367405103234093,0.047125151769308204
all,lightgbm,330827,0,0.6656799609183354,0.23644825716450538,0.5609596245123092,-3.1266140735214127e-06,0.9967164543412474,0.0,0.0
all,lightgbm,330827,1,0.6445176831890509,0.2267818592992857,0.6325823738597811,-5.1046927471107306e-05,1.003880565583831,0.03179046835072241,0.040881662572350486
all,lightgbm,330827,2,0.6379137265518965,0.2238247658718864,0.6484122230906749,-7.739672866050864e-05,1.0298898892427286,0.04171108640274246,0.05338796506263255
all,lightgbm,330827,3,0.6360054730542761,0.222973310000966,0.6526797816570191,-0.00015763000350656848,1.0410704428964852,0.04457770941928607,0.05698898915615336
low,logistic,57495,0,0.6839730665238068,0.24543119327218815,0.5655379331581664,1.351075638799824e-05,1.0053866723086533,0.0,0.0
low,logistic,57495,1,0.6830269436994036,0.24497070641554453,0.5728131595342567,-0.00011791789580387741,0.9979394685874399,0.0013832749719396853,0.0018762360664275057
low,logistic,57495,2,0.6787883339418136,0.24291086652917687,0.5919998876717687,2.9053197049473114e-05,0.9878051013825391,0.007580316880522631,0.0102689748169712
low,logistic,57495,3,0.6773384898944635,0.24220685589581922,0.5973838013308217,3.2211399321180594e-06,0.9888229343967054,0.00970005538823715,0.01313743918766297
low,lightgbm,57495,0,0.6827094955923387,0.24481067134559203,0.5704899028995485,-2.5358717455306167e-05,0.9888812818367829,0.0,0.0
low,lightgbm,57495,1,0.6825456166097746,0.24472051620997284,0.5766953412999394,-0.00026661950754493344,0.883284185117015,0.00024004204368344162,0.00036826472932594
low,lightgbm,57495,2,0.6759629253908059,0.24151026359637595,0.6035318749732916,-0.0004902923953179871,0.9372496826808727,0.009882051216644205,0.013481470113518856
low,lightgbm,57495,3,0.6734870125481869,0.24030982312187374,0.6105631715788619,-0.00037878239553301414,0.9567357373056699,0.01350864914534422,0.01838501646590629
intermediate,logistic,127622,0,0.6729732103789737,0.24002053343187743,0.581056134097084,2.2801307972623343e-05,1.0034668341251127,0.0,0.0
intermediate,logistic,127622,1,0.6696679800215917,0.23842594835370912,0.5939025603068355,-0.00013123937350856068,1.0057196305840381,0.004911384742225855,0.006643536098218439
intermediate,logistic,127622,2,0.6658733005367542,0.2366632802257649,0.6050324805027265,-1.5940709236020702e-05,1.001399225778252,0.010550063112053643,0.013987358323513499
intermediate,logistic,127622,3,0.6656256509037216,0.23654785396860573,0.6057352274398972,-2.2587935221990473e-05,1.0010289011509599,0.0109180564128466,0.014468259917676307
intermediate,lightgbm,127622,0,0.6722407905892446,0.23967913058930823,0.5815075998566426,9.527049126006838e-05,0.9931337216695473,0.0,0.0
intermediate,lightgbm,127622,1,0.6685541014413623,0.23790228702993096,0.5964306991302557,0.0001294588593591258,0.9664478859863759,0.0054841794777891195,0.007413426254544886
intermediate,lightgbm,127622,2,0.6622978780090771,0.23498713860451947,0.6151964154552084,-0.00010494508512993398,1.0077331114036692,0.014790701069258394,0.019576139037438822
intermediate,lightgbm,127622,3,0.6610678805462161,0.23440265613630967,0.6187771162067375,-0.00011426108294096643,1.0223436360796647,0.016620398820540117,0.022014742960828837
high,logistic,130893,0,0.6273702994227887,0.21798611133689008,0.5637967936006945,-0.00016235341944808006,1.0036333016824948,0.0,0.0
high,logistic,130893,1,0.6052277331876474,0.20836264447065353,0.6412782160643221,-0.000165949208532959,1.0023711603667262,0.035294253259220976,0.04414715601474173
high,logistic,130893,2,0.5998369859609534,0.20616756420720525,0.6538655925438822,0.00011238285635120897,1.0011734566495896,0.04388686153483401,0.054216973077792385
high,logistic,130893,3,0.5983064140504498,0.2055323113745403,0.6572975983076079,0.00010270127224044695,1.0008314683507602,0.046326524221945165,0.05713116255880568
high,lightgbm,130893,0,0.6263653185602874,0.21754139439226639,0.5648682170881109,-2.8816500657007256e-05,0.9928419584184163,0.0,0.0
high,lightgbm,130893,1,0.603070906270746,0.20747116924675696,0.6452981120002499,-5.5284193237285176e-05,0.992154148401005,0.03718981814491917,0.04629107565317425
high,lightgbm,130893,2,0.5956580908735098,0.20439119648301937,0.6626250684500095,-2.4139696303071903e-06,1.0234146735357141,0.0490244698690514,0.060449175413185174
high,lightgbm,130893,3,0.5932670999009346,0.20342849718080427,0.6678927757875431,-3.976083582222156e-05,1.0325711532454211,0.05284171661264658,0.06487453687096445
unknown,logistic,14817,0,0.6700265318219706,0.2385720449145833,0.5837428131959604,-7.17941009348794e-05,1.01947939860302,0.0,0.0
unknown,logistic,14817,1,0.6656699445993234,0.23644730514084467,0.6013132951531547,-2.7792164376642947e-05,1.0215766561446864,0.006502111507137753,0.008906071851374597
unknown,logistic,14817,2,0.6628865212025415,0.23516842290281378,0.6101326231307025,8.517044695117819e-05,0.9820590718476355,0.010656310280748982,0.014266642233745963
unknown,logistic,14817,3,0.6605843929959119,0.23413701887049373,0.6157913264816239,9.011525770882389e-05,0.9803986793996113,0.014092186469665813,0.018589881499642802
unknown,lightgbm,14817,0,0.6693538537130289,0.2382685093608334,0.5846001486209966,-0.0003476494573568861,0.9462261751120987,0.0,0.0
unknown,lightgbm,14817,1,0.6654226052342382,0.23628786142524152,0.6009599373385783,-0.001221180990634247,0.8502626846908523,0.005873199141206542,0.00831267187134832
unknown,lightgbm,14817,2,0.6562264354392204,0.2319680420177897,0.6292245462258748,-2.4879487791099834e-05,0.8815760787005638,0.01961207543810839,0.02644271943424248
unknown,lightgbm,14817,3,0.6514923980916495,0.22982824071504956,0.6401100535117782,-0.00042559336201026567,0.9006704190107659,0.026684623569878108,0.03542334934828473
