stratum,model,comparison,estimate,lower,upper,n_resamples,level,metric
all,logistic,clinical need (step 0 to 1),0.15224964682995112,0.14845436960313474,0.15652115205996908,500,0.95,log-loss skill
all,logistic,social position (step 1 to 2),0.01957715188352971,0.01717973415458787,0.023136970707970682,500,0.95,log-loss skill
all,lightgbm,clinical need (step 0 to 1),0.18324397217016664,0.1791516332113467,0.18772428433236732,500,0.95,log-loss skill
all,lightgbm,social position (step 1 to 2),0.02162246402972745,0.019200736015512723,0.025357567706629742,500,0.95,log-loss skill
intermediate,logistic,clinical need (step 0 to 1),0.06814886609716775,0.06384644011910187,0.07208685012740565,500,0.95,log-loss skill
intermediate,logistic,social position (step 1 to 2),0.019716027300853534,0.01646239745352713,0.024199740096411876,500,0.95,log-loss skill
intermediate,lightgbm,clinical need (step 0 to 1),0.07828006600788862,0.07419618257451485,0.08198143740001618,500,0.95,log-loss skill
intermediate,lightgbm,social position (step 1 to 2),0.02310039716780965,0.019869158806851746,0.028151239335063985,500,0.95,log-loss skill
high,logistic,clinical need (step 0 to 1),0.2725098036926751,0.2663005427004564,0.2795972195854221,500,0.95,log-loss skill
high,logistic,social position (step 1 to 2),0.02043940653610199,0.018439741553109377,0.023271564434772195,500,0.95,log-loss skill
high,lightgbm,clinical need (step 0 to 1),0.29536655492642694,0.28942364840595775,0.3017318364271282,500,0.95,log-loss skill
high,lightgbm,social position (step 1 to 2),0.022223065714431334,0.019965497806680534,0.025319855595817804,500,0.95,log-loss skill
