stratum,model,step,log_loss,brier,auc,calibration_intercept,calibration_slope,log_loss_skill,brier_skill
all,logistic,0,0.5241501052004708,0.17039202107116638,0.5101119096043666,1.4110130134840416e-05,0.9878666485840694,0.0,0.0
all,logistic,1,0.4443484367978174,0.14310246429550133,0.7544905030724984,0.00027731649821156694,0.9998199580114971,0.15224964682995112,0.16015748040377564
all,logistic,2,0.4340870705785397,0.13935408851966763,0.7712251300497948,6.218096366350197e-05,0.9982788164392811,0.17182679871348083,0.18215602090038807
all,lightgbm,0,0.5240251532653466,0.17034943984418047,0.5147636066711617,7.4897888906558805e-06,0.9360667205363178,0.0,0.0
all,lightgbm,1,0.42800070266392415,0.13715192762113457,0.7719878026588026,-0.00018281076271509718,1.0120201298333353,0.18324397217016664,0.19487890452361822
all,lightgbm,2,0.41666998763677177,0.13294998798743127,0.7914714380586882,-0.00018146048053971743,1.0249686347652145,0.2048664361998941,0.21954549360983322
intermediate,logistic,0,0.5564205645052809,0.18493186960441452,0.5349748199607676,-3.0215947337273834e-05,1.0001197866776488,0.0,0.0
intermediate,logistic,1,0.5185011339611,0.1690983557281828,0.6630762022943867,-0.00014153681822499974,1.000820028671887,0.06814886609716775,0.08561809227420347
intermediate,logistic,2,0.5075307309205576,0.16509311204360017,0.6923233797589677,-0.00015463481574971242,1.000593673535979,0.08786489339802128,0.10727603415923492
intermediate,lightgbm,0,0.5562702127500201,0.18487675765040748,0.535862798302439,3.0051309096958655e-05,0.9821881297370383,0.0,0.0
intermediate,lightgbm,1,0.5127253437777263,0.16673468762685895,0.6706011253931963,3.0210547694697453e-05,0.9974964913541222,0.07828006600788862,0.09813061551984947
intermediate,lightgbm,2,0.4998752809305788,0.16197415502954993,0.7033419569125868,-6.132076728758602e-06,1.0195304397142548,0.10138046317569827,0.1238803779984351
high,logistic,0,0.4847158938693239,0.15331153381288753,0.5222676347404123,-7.856046649026577e-05,0.9859919826271426,0.0,0.0
high,logistic,1,0.35262606078427494,0.11049139789184582,0.8434324431351236,5.040078125707155e-05,0.999153159032681,0.2725098036926751,0.2793014645153997
high,logistic,2,0.3427187555749697,0.10689629405169154,0.8539158800950598,1.6359311460240056e-05,0.9978669960823989,0.29294921022877707,0.30275112776475444
high,lightgbm,0,0.4846127135279383,0.15327908465453072,0.5242217156355203,-5.7841355144934176e-05,0.9483247692691958,0.0,0.0
high,lightgbm,1,0.3414743258596437,0.1069717847508528,0.8534519660672817,0.00020641713717483483,1.0026671549134114,0.29536655492642694,0.3021110153942268
high,lightgbm,2,0.33070474568086344,0.10300497395368531,0.8647895721817007,-6.0681785165263465e-05,1.0134699778063463,0.3175896206408583,0.3279906767068457
