stratum,period,estimate,lower,upper
all,2020 to 2022,0.026900880850168507,0.0028555029399016905,0.06052359321752332
all,2015 to 2019,0.036566904965851244,0.010892504785531705,0.06453204083641916
all,2010 to 2014,0.05891049852545893,0.024644368248198077,0.09239759069286473
low,2020 to 2022,0.05165787900559682,0.017162795463463616,0.09235573339229618
low,2015 to 2019,0.08399740779839293,0.05210019522056926,0.12110455412418311
low,2010 to 2014,0.09218687056589481,0.05304913793683538,0.13632591183935788
intermediate,2020 to 2022,0.038544658162452006,0.015229246538191661,0.06737315800086754
intermediate,2015 to 2019,0.048046645253583264,0.019284186939574732,0.07982670959622251
intermediate,2010 to 2014,0.057978555648552144,0.022616146673861946,0.09923860614243209
high,2020 to 2022,0.015070057944906345,-0.013235998829571544,0.056343571611138045
high,2015 to 2019,0.02015853720232985,-0.0036827658950088367,0.04865586538320762
high,2010 to 2014,0.027793094973082022,-0.011070066927117034,0.062235243074630145
unknown,2020 to 2022,0.04851277953913824,-0.004986126714641191,0.10095081524080289
unknown,2015 to 2019,0.022533154536046318,-0.04058742217459239,0.10018419305937912
unknown,2010 to 2014,0.05996359822424924,0.0008020142786031337,0.1299351405102454
