stratum,model,fold_seed,clinical need (step 0 to 1),social position (step 1 to 2),step 2 skill
all,logistic,20260913,0.030144787765437497,0.0061666843568282115,0.03631147212226571
all,logistic,20260914,0.03014284470402917,0.006164222540500197,0.03630706724452937
all,logistic,20260915,0.03011340276725527,0.006161418271253938,0.03627482103850921
all,logistic,20260916,0.030105750197717884,0.006161935905730331,0.036267686103448216
all,logistic,20260917,0.030162106649022413,0.006174739138005814,0.03633684578702823
all,logistic,20260918,0.03015253308668908,0.006173840779062689,0.03632637386575177
all,logistic,20260919,0.030148802047519463,0.006169151077975221,0.036317953125494684
all,logistic,20260920,0.030153623467889967,0.006181346773039831,0.0363349702409298
all,logistic,20260921,0.030158962598957006,0.006175513936668264,0.03633447653562527
all,logistic,20260922,0.030129517359788083,0.0061470150217491915,0.036276532381537274
all,lightgbm,20260913,0.03178625104777277,0.009924835354969685,0.04171108640274246
all,lightgbm,20260914,0.031914453776663465,0.009849559852165846,0.04176401362882931
all,lightgbm,20260915,0.031828637918180025,0.009848467931582339,0.041677105849762364
all,lightgbm,20260916,0.0318206147555965,0.00987926778948578,0.04169988254508228
all,lightgbm,20260917,0.031806929198286094,0.009876186942490373,0.041683116140776466
all,lightgbm,20260918,0.03185564999894508,0.00993520836936479,0.04179085836830987
all,lightgbm,20260919,0.03192043849706905,0.009778656691261878,0.041699095188330926
all,lightgbm,20260920,0.03185080989157718,0.009876385906638308,0.04172719579821549
all,lightgbm,20260921,0.03176406766087281,0.009866012240821287,0.041630079901694095
all,lightgbm,20260922,0.03185943745317199,0.009842609595973384,0.041702047049145374
low,logistic,20260913,0.0013829330486431202,0.006197044030431087,0.007579977079074207
low,logistic,20260914,0.0014510720699567603,0.006229074939569479,0.007680147009526239
low,logistic,20260915,0.001399581283515916,0.006286244562845766,0.007685825846361682
low,logistic,20260916,0.001482193938318832,0.006249609842281845,0.007731803780600677
low,logistic,20260917,0.0015104638331981945,0.006200996039378626,0.00771145987257682
low,logistic,20260918,0.001443714123565476,0.006346941560727126,0.007790655684292602
low,logistic,20260919,0.0014499065491517804,0.006199504303793235,0.0076494108529450155
low,logistic,20260920,0.0013087372795657082,0.005984909790619941,0.007293647070185649
low,logistic,20260921,0.0014648900648805974,0.006330731738855788,0.007795621803736386
low,logistic,20260922,0.0014213398984442849,0.005900033906118485,0.00732137380456277
low,lightgbm,20260913,0.00024004204368344162,0.009642009172960764,0.009882051216644205
low,lightgbm,20260914,0.0006239010261059885,0.009460274457944173,0.010084175484050162
low,lightgbm,20260915,0.0006069713566320134,0.0097785327589055,0.010385504115537514
low,lightgbm,20260916,0.0006651703388650398,0.010074534813257041,0.010739705152122081
low,lightgbm,20260917,0.0005473953767004547,0.010129841836783449,0.010677237213483903
low,lightgbm,20260918,0.00043339016812338205,0.009904844796888468,0.01033823496501185
low,lightgbm,20260919,0.0003919917986039412,0.009780312754266052,0.010172304552869993
low,lightgbm,20260920,0.0005991962605554901,0.009712020507759322,0.010311216768314813
low,lightgbm,20260921,0.00026443031933687244,0.009850824919503953,0.010115255238840826
