stratum,model,step,max_iter,C,learning_rate,n_estimators,num_leaves,min_child_samples
all,logistic,0,2000.0,0.01,,,,
all,logistic,1,2000.0,0.01,,,,
all,logistic,2,2000.0,0.01,,,,
all,lightgbm,0,,,0.05,200.0,15.0,50.0
all,lightgbm,1,,,0.05,200.0,15.0,50.0
all,lightgbm,2,,,0.05,200.0,15.0,200.0
low,logistic,0,2000.0,0.1,,,,
low,logistic,1,2000.0,0.01,,,,
low,logistic,2,2000.0,0.01,,,,
low,lightgbm,0,,,0.05,200.0,15.0,50.0
low,lightgbm,1,,,0.05,200.0,15.0,200.0
low,lightgbm,2,,,0.05,200.0,15.0,200.0
intermediate,logistic,0,2000.0,0.1,,,,
intermediate,logistic,1,2000.0,0.1,,,,
intermediate,logistic,2,2000.0,0.01,,,,
intermediate,lightgbm,0,,,0.05,200.0,15.0,50.0
intermediate,lightgbm,1,,,0.05,200.0,15.0,200.0
intermediate,lightgbm,2,,,0.05,200.0,15.0,200.0
high,logistic,0,2000.0,0.1,,,,
high,logistic,1,2000.0,0.1,,,,
high,logistic,2,2000.0,0.01,,,,
high,lightgbm,0,,,0.05,200.0,15.0,50.0
high,lightgbm,1,,,0.05,200.0,15.0,50.0
high,lightgbm,2,,,0.05,200.0,15.0,200.0
unknown,logistic,0,2000.0,0.1,,,,
unknown,logistic,1,2000.0,0.1,,,,
unknown,logistic,2,2000.0,0.01,,,,
unknown,lightgbm,0,,,0.05,200.0,15.0,50.0
unknown,lightgbm,1,,,0.05,200.0,15.0,200.0
unknown,lightgbm,2,,,0.05,200.0,15.0,200.0
