scenario,stratum,model,contrast,estimate
threshold_60,all,logistic,social,-1.6878738855567832
threshold_60,all,logistic,area,-10.615482184436274
threshold_60,all,logistic,marital,3.7004261457122993
threshold_60,all,lightgbm,social,-2.8269472241999978
threshold_60,all,lightgbm,area,-10.332331837470264
threshold_60,all,lightgbm,marital,3.1753941036551936
threshold_60,low,logistic,social,-3.1029677076652575
threshold_60,low,logistic,area,-11.59783731088956
threshold_60,low,logistic,marital,1.8329779256419556
threshold_60,low,lightgbm,social,-4.464073371593116
threshold_60,low,lightgbm,area,-11.673418138004934
threshold_60,low,lightgbm,marital,1.2136973574578604
threshold_60,intermediate,logistic,social,-2.3008659504832707
threshold_60,intermediate,logistic,area,-10.718061686717412
threshold_60,intermediate,logistic,marital,2.330779669958673
threshold_60,intermediate,lightgbm,social,-3.396760856058961
threshold_60,intermediate,lightgbm,area,-10.698546305971206
threshold_60,intermediate,lightgbm,marital,1.9700438208372475
threshold_60,high,logistic,social,-0.5730844903319436
threshold_60,high,logistic,area,-9.739605358709298
threshold_60,high,logistic,marital,5.811730469372925
threshold_60,high,lightgbm,social,-1.8963293487589752
threshold_60,high,lightgbm,area,-8.240633730570032
threshold_60,high,lightgbm,marital,5.2610088700448685
threshold_60,unknown,logistic,social,-0.9282847882681438
threshold_60,unknown,logistic,area,-13.151008159647155
threshold_60,unknown,logistic,marital,3.30571175614557
threshold_60,unknown,lightgbm,social,-2.1072427187706495
threshold_60,unknown,lightgbm,area,-16.91330917216039
threshold_60,unknown,lightgbm,marital,1.31688807495577
threshold_120,all,logistic,social,-0.5550566431399346
threshold_120,all,logistic,area,-6.869490058714707
threshold_120,all,logistic,marital,6.016819820247264
threshold_120,all,lightgbm,social,-0.646480223489565
threshold_120,all,lightgbm,area,-7.089843869540562
threshold_120,all,lightgbm,marital,4.966484286040526
threshold_120,low,logistic,social,-2.486602532258786
threshold_120,low,logistic,area,-9.73848052575282
threshold_120,low,logistic,marital,3.644863446062139
threshold_120,low,lightgbm,social,-3.7945113911550052
threshold_120,low,lightgbm,area,-11.720803594204646
threshold_120,low,lightgbm,marital,1.0873437007156284
threshold_120,intermediate,logistic,social,-0.6209911402197505
threshold_120,intermediate,logistic,area,-6.275852479407277
threshold_120,intermediate,logistic,marital,5.91440713211594
threshold_120,intermediate,lightgbm,social,-0.4618403354108196
threshold_120,intermediate,lightgbm,area,-6.971829273448975
threshold_120,intermediate,lightgbm,marital,5.057799798058387
threshold_120,high,logistic,social,0.21674701453806833
threshold_120,high,logistic,area,-5.935237827638506
threshold_120,high,logistic,marital,6.855046176066111
threshold_120,high,lightgbm,social,0.11496550454767629
threshold_120,high,lightgbm,area,-5.397942960957952
threshold_120,high,lightgbm,marital,6.021978323268851
threshold_120,unknown,logistic,social,0.10068458659381108
threshold_120,unknown,logistic,area,-8.208083760397813
threshold_120,unknown,logistic,marital,7.000102076013061
threshold_120,unknown,lightgbm,social,-0.8796040973521677
threshold_120,unknown,lightgbm,area,-11.311205012276963
threshold_120,unknown,lightgbm,marital,5.662700324796084
threshold_180,all,logistic,social,0.14164364437744936
threshold_180,all,logistic,area,-2.9633644025117523
threshold_180,all,logistic,marital,3.447865627452112
threshold_180,all,lightgbm,social,0.286000631705134
threshold_180,all,lightgbm,area,-3.2007308228369045
threshold_180,all,lightgbm,marital,3.0812686568300975
threshold_180,low,logistic,social,-0.7486784562559023
threshold_180,low,logistic,area,-4.7966102314539825
threshold_180,low,logistic,marital,2.6588519681564424
threshold_180,low,lightgbm,social,-1.0314424202483554
