scenario,stratum,model,comparison,estimate,lower,upper,n_resamples,level,metric
threshold_60,all,logistic,clinical need (step 0 to 1),0.0440196276532141,0.03973983157691525,0.048793828685430765,500,0.95,log-loss skill
threshold_60,all,logistic,social position (step 1 to 2),0.005402581284936536,0.0030748264948743114,0.007888680515001713,500,0.95,log-loss skill
threshold_60,all,lightgbm,clinical need (step 0 to 1),0.04659173334291189,0.042021456859359846,0.051686179659789416,500,0.95,log-loss skill
threshold_60,all,lightgbm,social position (step 1 to 2),0.009430032829260138,0.007279894190494152,0.011783861055324701,500,0.95,log-loss skill
threshold_60,low,logistic,clinical need (step 0 to 1),0.0028218346207739,0.0017380021778994894,0.0037919559188913923,500,0.95,log-loss skill
threshold_60,low,logistic,social position (step 1 to 2),0.008239285699334409,0.0037807079600161286,0.012660405473861052,500,0.95,log-loss skill
threshold_60,low,lightgbm,clinical need (step 0 to 1),0.002093395183732083,0.00016024281487567757,0.0037308805148131893,500,0.95,log-loss skill
threshold_60,low,lightgbm,social position (step 1 to 2),0.012221477405339298,0.008596561377632452,0.016686334889561612,500,0.95,log-loss skill
threshold_60,intermediate,logistic,clinical need (step 0 to 1),0.009056037862210986,0.007443980146998344,0.01090011698189677,500,0.95,log-loss skill
threshold_60,intermediate,logistic,social position (step 1 to 2),0.005295408099352805,0.0028043880612734135,0.008161390846883292,500,0.95,log-loss skill
threshold_60,intermediate,lightgbm,clinical need (step 0 to 1),0.009974592392244186,0.00791997143675471,0.012176041726043014,500,0.95,log-loss skill
threshold_60,intermediate,lightgbm,social position (step 1 to 2),0.00880585804013867,0.006609757267110015,0.011635891566480365,500,0.95,log-loss skill
threshold_60,high,logistic,clinical need (step 0 to 1),0.05644832068576422,0.051055249213202404,0.06170214584041485,500,0.95,log-loss skill
threshold_60,high,logistic,social position (step 1 to 2),0.006132890810023439,0.003923108832412339,0.008558313022216515,500,0.95,log-loss skill
threshold_60,high,lightgbm,clinical need (step 0 to 1),0.05906429640652877,0.05322331457285268,0.06475485589415697,500,0.95,log-loss skill
threshold_60,high,lightgbm,social position (step 1 to 2),0.009633921335364892,0.007498506619894219,0.012103090886728505,500,0.95,log-loss skill
threshold_60,unknown,logistic,clinical need (step 0 to 1),0.01343967499790355,0.00844656158894739,0.01747339984995559,500,0.95,log-loss skill
threshold_60,unknown,logistic,social position (step 1 to 2),0.004105216581401505,0.0005866346045567211,0.008568373775252457,500,0.95,log-loss skill
threshold_60,unknown,lightgbm,clinical need (step 0 to 1),0.014824844948230331,0.008968560221983377,0.01955269852108435,500,0.95,log-loss skill
threshold_60,unknown,lightgbm,social position (step 1 to 2),0.015622658042999671,0.009036562440108632,0.02361216470847411,500,0.95,log-loss skill
