stratum,model,profile,standardised %
all,logistic,"rurality only: Metro, 1 million or more (county income held at reference)",40.79424077983434
all,logistic,"rurality only: Metro, 250,000 to 1 million (county income held at reference)",36.563251626759765
all,logistic,"rurality only: Metro, under 250,000 (county income held at reference)",33.32751130817983
all,logistic,"rurality only: Nonmetro, adjacent to metro (county income held at reference)",32.44568377262144
all,logistic,"rurality only: Nonmetro, not adjacent to metro (county income held at reference)",32.05302716840212
all,logistic,county income only: Q1 (lowest) (rurality held at reference),39.93424472273414
all,logistic,county income only: Q2 (rurality held at reference),40.23274959317926
all,logistic,county income only: Q3 (rurality held at reference),40.53192616547981
all,logistic,county income only: Q4 (highest) (rurality held at reference),40.83175421916486
all,lightgbm,"rurality only: Metro, 1 million or more (county income held at reference)",41.27502838216232
all,lightgbm,"rurality only: Metro, 250,000 to 1 million (county income held at reference)",37.37973762335622
all,lightgbm,"rurality only: Metro, under 250,000 (county income held at reference)",37.424972738291075
all,lightgbm,"rurality only: Nonmetro, adjacent to metro (county income held at reference)",38.02393540057599
all,lightgbm,"rurality only: Nonmetro, not adjacent to metro (county income held at reference)",42.992293814560874
all,lightgbm,county income only: Q1 (lowest) (rurality held at reference),32.62235770534668
all,lightgbm,county income only: Q2 (rurality held at reference),34.6303134246232
all,lightgbm,county income only: Q3 (rurality held at reference),40.3584534252919
all,lightgbm,county income only: Q4 (highest) (rurality held at reference),41.27502838216232
low,logistic,"rurality only: Metro, 1 million or more (county income held at reference)",51.305582310148544
low,logistic,"rurality only: Metro, 250,000 to 1 million (county income held at reference)",48.881673437306574
low,logistic,"rurality only: Metro, under 250,000 (county income held at reference)",46.09103544642707
low,logistic,"rurality only: Nonmetro, adjacent to metro (county income held at reference)",42.81243337847063
low,logistic,"rurality only: Nonmetro, not adjacent to metro (county income held at reference)",44.00024617799821
low,logistic,county income only: Q1 (lowest) (rurality held at reference),44.579710376731306
low,logistic,county income only: Q2 (rurality held at reference),46.909166479623316
low,logistic,county income only: Q3 (rurality held at reference),49.25220452374484
low,logistic,county income only: Q4 (highest) (rurality held at reference),51.598744152291296
low,lightgbm,"rurality only: Metro, 1 million or more (county income held at reference)",52.60381941377543
low,lightgbm,"rurality only: Metro, 250,000 to 1 million (county income held at reference)",49.965035753871575
low,lightgbm,"rurality only: Metro, under 250,000 (county income held at reference)",50.04606287826452
low,lightgbm,"rurality only: Nonmetro, adjacent to metro (county income held at reference)",48.67652673198199
low,lightgbm,"rurality only: Nonmetro, not adjacent to metro (county income held at reference)",47.725693710508196
low,lightgbm,county income only: Q1 (lowest) (rurality held at reference),37.81760280025877
low,lightgbm,county income only: Q2 (rurality held at reference),41.463921491955794
